0,1,2,3,4,5,6,7,8,9,10
0.033,0.95118,-3.1146,1.0175,19.993,52.602,-65.846,40.724,18.07,4.8704,0.13533
0.042,0.98719,-3.1092,1.0205,18.996,52.337,-64.506,42.513,17.519,4.5306,0.23935
0.05,1.0112,-3.1205,1.0309,17.917,52.036,-63.077,44.394,17.067,4.1527,0.34432
0.058,1.0247,-3.1487,1.049,16.751,51.694,-61.56,46.362,16.72,3.7414,0.44983
0.067,1.0303,-3.1926,1.074,15.49,51.308,-59.963,48.407,16.473,3.303,0.55503
0.075,1.0307,-3.2503,1.1039,14.127,50.874,-58.293,50.519,16.304,2.8472,0.65873
0.083,1.0285,-3.32,1.1359,12.654,50.389,-56.556,52.687,16.186,2.3854,0.75889
0.092,1.0261,-3.4005,1.168,11.065,49.85,-54.759,54.9,16.085,1.9282,0.85184
0.1,1.0257,-3.4898,1.1991,9.3725,49.264,-52.91,57.142,15.975,1.4839,0.93369
0.108,1.0285,-3.5855,1.2295,7.6045,48.64,-51.023,59.392,15.847,1.0574,1.0031
0.117,1.035,-3.6854,1.2595,5.7976,47.993,-49.113,61.627,15.716,0.65036,1.0623
0.125,1.0443,-3.7872,1.2884,3.9862,47.335,-47.192,63.82,15.613,0.2622,1.1154
0.133,1.055,-3.8887,1.3146,2.1959,46.672,-45.274,65.945,15.585,-0.10871,1.1667
0.142,1.0649,-3.9881,1.3359,0.4456,46.003,-43.37,67.979,15.668,-0.46203,1.2201
0.15,1.0722,-4.0853,1.3506,-1.2487,45.324,-41.494,69.905,15.875,-0.79251,1.2762
0.158,1.075,-4.1813,1.3579,-2.8663,44.628,-39.657,71.711,16.182,-1.091,1.3317
0.167,1.0725,-4.2781,1.3582,-4.3803,43.907,-37.872,73.394,16.538,-1.3469,1.3799
0.175,1.0638,-4.3782,1.3525,-5.7634,43.156,-36.151,74.957,16.876,-1.5502,1.4138
0.183,1.0484,-4.4839,1.3426,-6.9912,42.372,-34.501,76.405,17.145,-1.6937,1.4295
